author,published_at,updated_at,like_count,text
Bruno Nadembega,2023-10-01T13:59:34Z,2023-10-01T13:59:34Z,0,Je vous suis chaque dimanche
Delphin Gbehou,2023-10-01T13:33:28Z,2023-10-01T13:33:28Z,0,❤❤❤❤❤❤❤❤
Delphin Gbehou,2023-10-01T13:33:07Z,2023-10-01T13:33:07Z,1,❤❤❤❤❤❤❤❤❤
Jack Zongo,2023-10-01T13:31:19Z,2023-10-01T13:31:19Z,1,"Merci au peuple burkinabe, merci a tout un chacun. Courage, car le burkina Faso ne peut plus accepter de revivre un deuxieme  15octobre. C est fini a jamais. Alors que l imperialiste sache que le peuple est bien pret pour chasser et voir meme eleminer les imperialistes et leurs complices. Vive le niger, le mali, le burkina Faso  vive l (Alliance des etats du sahel)  la patrie ou la mort nous vaincrons."
Shaika Sidibe,2023-10-01T12:55:19Z,2023-10-01T12:55:19Z,1,Vraiment vous ête tous bon je vous adores ❤
Sele bougoum,2023-10-01T12:19:04Z,2023-10-01T12:19:04Z,2,Merci pour le debat
